id,reasoning,label
47,박용진 의원더불어민주당 소속의 활동을 긍정적으로 평가하며 열일 하십니다라고 언급합니다 가짜 학회 문제에 대한 비판은 사회 비판적 시각이지만 박용진 의원에 대한 긍정적 평가는 진보적 성향으로 볼 수 있습니다,Progressive
48,교회의 부정부패를 비판하는 영상에 대해 북한방송인가라는 반어적 표현을 사용하여 영상의 내용이나 보도 방식에 대한 비판적 시각을 드러냅니다 이는 진보 성향 매체뉴스타파의 보도에 대한 보수적 관점의 비판으로 해석될 수 있습니다,Conservative
49,516을 군사정변으로 부르지 못하는 현실에 대한 비판적인 제목에 대해 개같은 세상이라며 강한 불만을 표출합니다 516을 군사정변으로 규정하는 것은 진보적 시각입니다,Progressive
50,세월호 사건의 진실 규명을 촉구하고 희생자 가족에 대한 안타까움을 표현합니다 세월호 진실 규명은 진보 진영의 주요 의제입니다,Progressive
51,뉴스타파와 한상진 기자를 항상 지지하고 믿습니다 응원합니다라며 강하게 지지합니다 윤석열의 조직에 충성한다는 말 이제야 이해 가네요는 윤석열 대통령의 과거 발언을 언급하며 비판적인 시각을 드러내는 것으로 진보적 성향을 명확히 보여줍니다,Progressive
52,더불어민주당 정책연구위원의 해외출장을 비판하면서도 더민주뿐만이 아니고 대한민국 전체가 이수준입니다 어떤 진영이든 깔놈은 까야지라며 양비론적 시각을 보여주며 특정 진영에 치우치지 않고 비판하는 중립적 태도를 보입니다,Neutral
53,여야 막론하고 국민 세금으로 장난친 국개의원들 처벌해야한다는 양비론적 시각을 명확히 보여줍니다 국회의원들을 국개의원 쓰레기들이라고 비판하며 정치권 전반에 대한 불신을 드러냅니다,Neutral
54,김복동 할머니위안부 피해자를 언급하며 성폭력 피해자들에게 위로를 전하고 스토킹 및 몰카 유포 가해자들을 비판하며 인권 유린을 지적합니다 이는 인권과 여성 인권에 대한 진보적 가치관을 반영합니다,Progressive
55,노재헌노태우 전 대통령 아들의 조세도피 의혹에 대해 썩어빠진 부의되물림과 불법재산의 흐름은 반드시 제거가 되어야할 구시대적 유물이다라며 강하게 비판합니다 이는 재벌 및 기득권층의 불법적 부의 축적에 대한 비판으로 진보적 시각입니다,Progressive
56,이 땅의 최고의 미디어는 뉴스타파다 뉴스타파 힘내세요라며 뉴스타파를 강하게 지지합니다 박근혜 때는 저랬지 이런 박근혜가 여러건 했군이라며 박근혜 정부의 메르스 대응을 비판하는 것은 진보적 성향을 명확히 보여줍니다,Progressive
57,제목에서 이죄명 완전 망해는 이재명 대표에 대한 강한 비판을 암시합니다 댓글에서도 왜 죄명이 죄를 그렇게 봐줬나라며 이재명 대표에 대한 사법부의 판결을 비판하고 대통령의 비상계엄은 헌법이 보장한 합법이다 대통령은 내란을 진압한것이다 등 보수 진영의 역사관과 주장을 옹호합니다 배승희 변호사는 보수 성향의 유튜버입니다,Conservative
58,제목의 찢은 이재명 대표를 비하하는 멸칭입니다 댓글에서도 이재명이는 나라와 국민은 안중에도 없습니다 본인 사법리스크 때문에 감옥 않 가려고 몸부림치고 있다며 이재명 대표를 강하게 비판합니다 공산당독재로 가는 정치보복이네 자유민주주의 말살을 시키는구만은 진보 진영에 대한 비판적 시각을 드러내며 사전투표 불신 등 보수 진영의 주장을 담고 있습니다,Conservative
59,자유민주주의 대한민국 내에 북한 찬양하는 개인이나 정당이 하루빨리 청소되기를이라는 표현은 진보 진영을 종북으로 비판하는 보수 진영의 전형적인 주장입니다 중국산 전자기기 퇴출 주장도 보수적 안보관과 연결될 수 있습니다 배승희 변호사 채널의 영상입니다,Conservative
60,배승희 변호사보수 성향 유튜버에 대한 강한 지지와 칭찬을 보냅니다 언론놈들부터 처리 해야돼는 주류 언론에 대한 불신과 비판을 드러내며 광화문에서 엄청난 인파가 국민저항운동을 했는데 왜 언론에 보도를 안하는지는 보수 진영의 집회에 대한 언론의 보도 태도를 비판하는 것으로 보수적 성향을 보여줍니다,Conservative
61,죄명이는 이재명 대표를 비하하는 멸칭이며 이재명 대표의 구속과 처벌을 강력히 요구하고 있음 보수 성향의 배승희 변호사를 지지하는 내용도 포함되어 있음,Conservative
62,노란봉투법에 대한 비판적 시각을 드러내며 자유 대한민국 윤 대통령을 옹호하고 보수 성향의 배승희 변호사를 강력히 지지하고 있음 대통령 잘못 뽑아 우리나라 앞날이 걱정이라는 문장은 노란봉투법과 관련한 우려를 표명하는 것으로 보이며 전체적인 맥락은 보수 진영 지지에 해당함,Conservative
63,한국 우파편 자유 대한민국 등의 표현으로 보수 진영을 지지하며 재명이를 비판하고 사법부가 이재명 대표를 제대로 처벌하지 못했다고 비난하고 있음,Conservative
64,이쬐명이는 이재명 대표를 비하하는 멸칭이며 이재명 대표의 구속과 수사를 강력히 요구하고 있음 현 상황에 대한 불만과 함께 강경 투쟁을 암시하는 표현을 사용하고 있음,Conservative
65,국회의원 수 축소 비례대표제 폐지 선관위 개혁 외국인 투표권 및 중국인 부동산 소유권 폐지 등 보수 진영에서 주로 주장하는 정치 개혁 의제를 지지하고 있으며 보수 성향의 배승희 변호사를 응원하고 있음,Conservative
66,탄핵을 언급하며 특정 정책국민에게 돈을 주는 정책을 빚내서 생색내는 것으로 비판하고 나쁜 인간들이라고 지칭하는 것은 주로 진보 진영의 정책에 대한 보수적 비판에 해당함,Conservative
67,이죄명은 이재명 대표를 비하하는 멸칭이며 그를 범죄자 사기꾼으로 규정하며 강하게 비판하고 있음 보수 성향의 배승희 변호사를 지지하는 내용도 포함되어 있음,Conservative
68,이재명이 쌍통보고 TV 꺼버렸다는 표현으로 이재명 대표에 대한 강한 반감을 드러내고 있으며 찟정부는 이재명 대표를 비하하는 멸칭으로 진보 진영을 비판하고 있음 보수 성향의 배승희 변호사를 지지하고 있음,Conservative
69,보수 성향의 이진숙을 응원하며 범죄자 국세도둑질을 밥먹듯 한 전과자라는 표현으로 특정 정치인이재명 대표로 추정을 강하게 비판하고 있음 내란특검 주장을 비판하며 오히려 그들이 특검을 받아야 한다고 주장하는 것도 보수적 시각에 해당함,Conservative
70,특정 인물김현지을 중국 스파이 북중파 간첩으로 의심하며 수사를 요구하고 있으며 수사 기소 분리를 중국식이라며 비판하는 것은 보수 진영의 시각에 해당함,Conservative
71,죄명이는 이재명 대표를 비하하는 멸칭이며 이재명 대표의 구속을 강력히 요구하고 있음 자유우파의 여전사라는 표현으로 배승희 변호사와 이진숙을 지지하며 보수 진영의 입장을 명확히 하고 있음,Conservative
72,이승만 박정희 전두환 전 대통령을 긍정적으로 평가하며 보수 진영의 집권을 옹호하고 간첩법 개정 및 국가보안법 부활을 주장하는 등 전형적인 보수적 시각을 드러내고 있음 우파집결을 촉구하는 내용도 포함됨,Conservative
73,이죄명은 이재명 대표를 비하하는 멸칭이며 그를 철학 없는 자로 비판하고 있음 윤석열 대통령을 옹호하고 죄명이를 끌어내리기를 요구하는 등 보수 진영의 입장을 명확히 하고 있음,Conservative
74,멸공이라는 강한 반공주의적 표현을 사용하고 있으며 이재명 대표를 범죄자로 규정하며 그의 정권 퇴진을 강력히 요구하고 있음 보수 성향의 배승희 변호사를 지지하는 내용도 포함됨,Conservative
75,보수 성향의 김태규 변호사를 응원하며 대장동 사건과 관련하여 이재명 대표를 비판하고 구속 수사를 요구하고 있음 김태규 변호사가 국힘에 힘을 보태주세요라고 언급하며 국민의힘을 지지하는 입장을 명확히 하고 있음,Conservative
76,폐경궁이라는 멸칭으로 김건희 여사를 비판하는 진보적 시각과 국민의힘 장동혁 의원을 지지하며 민주당 악폐를 바로 잡아달라고 요청하는 보수적 시각이 동시에 나타나고 있어 특정 진영으로 분류하기 어려움,Neutral
77,이죄명은 이재명 대표를 비하하는 멸칭이며 그를 죄인 범죄자로 규정하며 구속 및 처벌을 강력히 요구하고 있음,Conservative
78,죄명이는 이재명 대표를 비하하는 멸칭이며 이죄명 정부가 천벌을 받을 것이라고 저주하며 강하게 비판하고 있음,Conservative
79,리 짜이밍은 이재명 대표를 비하하는 멸칭이며 그를 하루빨리 끌어내려야 한다고 주장하고 이재명 대표 관련 재판의 재개를 요구하는 등 보수 진영의 입장을 명확히 하고 있음,Conservative
80,보수 성향의 배승희 변호사를 지지하며 국민의힘 내부의 배신자들을 비판하고 수박이라는 멸칭으로 조경태 의원을 비판하는 등 강성 보수층의 시각을 드러내고 있음 멸공이라는 표현도 사용됨,Conservative
81,국민의힘 장동혁 의원을 응원하며 2죄명이재명 대표 운재인문재인 전 대통령 김정숙 여사 김현지 등을 비멸칭으로 부르며 강하게 비판하고 수사 및 구속을 요구하는 등 보수 진영의 입장을 명확히 하고 있음,Conservative
82,어게인 윤이라는 표현으로 윤석열 대통령을 지지하고 있으며 보수 성향의 배승희 변호사를 응원하고 있음 국민의힘 의원들의 무기력함을 비판하며 강경한 보수적 태도를 요구하는 등 보수 진영의 입장을 드러내고 있음,Conservative
83,죄명이라는 멸칭으로 이재명 대표를 내란쿠데타의 주범으로 비판하고 있으며 윤석열 대통령의 무죄를 바라며 이재명 대표에게 치명타가 되기를 요구하고 있음 보수 성향의 배승희 변호사를 강력히 지지하고 있음,Conservative
84,이재명 대표와 김현지를 범죄두목으로 지칭하며 구속 수사와 재판을 강력히 요구하고 있음,Conservative
85,보수 성향의 배승희 변호사를 나라의 보물이라고 칭하며 강력히 지지하고 응원하고 있음,Conservative
86,보수 성향의 김태규와 배승희를 지지하며 이죄명정부를 비판하고 죄명이의 재판 재개를 요구하는 등 보수 진영의 입장을 명확히 하고 있음,Conservative
87,국민의힘 장동혁 의원을 강력히 지지하며 같은 당 소속인 안철수 조경태 의원을 찌그러져야 한다 악마 등으로 비판하는 것은 강성 보수층의 시각에 해당함,Conservative
88,우리 대통령 돌려주라 왜 죄 없는 대통령을 구속시키나 등의 표현으로 윤석열 대통령을 옹호하고 그에 대한 비판적 움직임에 반발하는 보수 진영의 시각을 드러내고 있음,Conservative
89,보수 성향의 배승희 변호사를 애국열사로 칭하며 지지하고 멸공이라는 표현을 사용함 찌재명은 이재명 대표를 비하하는 멸칭이며 그를 탄핵시키고 끌어내려야 한다고 강력히 주장하고 있음,Conservative
90,대한민국의 좌경화를 개탄하며 붉은 용의 세력 공산주의를 막아내고 중국의 속국이 되지 않도록 하자 등의 표현으로 강한 보수적 반공주의적 시각을 드러내고 있음 정부 빨리 탄핵을 시켜야 한다는 문장도 이러한 맥락에서 진보 진영의 정부나 정책에 대한 비판으로 해석됨,Conservative
91,과거 민주화 운동을 공산화 독재로 연결하며 비판하고 윤석열 대통령을 지지하는 윤어게인 키워드를 사용했습니다 보수 성향 유튜버 배승희 변호사에 대한 강한 지지를 표명하고 있습니다,Conservative
92,민주당에 대한 강한 불신과 비판을 표출하며 자유민주주의를 강조하는 보수적 관점을 드러내고 있습니다 배승희 변호사에 대한 응원도 포함되어 있습니다,Conservative
93,이재명 대표를 이죄명이라는 멸칭으로 부르며 김현지 씨와 함께 구속 및 퇴진을 강력히 요구하고 있습니다 쓰레기와 같은 극단적인 비난 표현을 사용했습니다,Conservative
94,배승희 변호사를 애국열사로 칭하며 지지하고 멸공 윤어게인 등 보수 진영의 구호를 사용했습니다 이재명 대표의 재판 재개와 탄핵을 요구하는 보수적 관점입니다,Conservative
95,이재명 대표를 이죄명이라 칭하며 범죄자로 규정하고 특검 및 체포를 강력히 요구하고 있습니다 자손까지 이어 범죄자로 죄를 물어야 한다는 극단적인 표현을 사용했습니다,Conservative
96,이재명 대표를 전과4범죄자 잡범으로 비하하며 빠른 구속을 요구하고 있습니다 토가 나오네요 등의 강한 비난 표현을 사용했습니다,Conservative
97,민주당과 이재명 대표를 범죄집단 이죄명으로 비하하며 특검과 처벌을 요구하고 있습니다 김건희 특검을 언급하며 현 정권의 이중잣대를 비판하는 듯한 문장이 있으나 이는 이재명 대표에 대한 비판을 강화하는 맥락으로 해석됩니다,Conservative
98,현 상황에 대한 불만을 표출하며 이재명과 김현지에 대한 체포 구속 출국금지 강제체포 퇴진을 강력히 요구하고 있습니다 배승희 변호사에 대한 지지도 포함되어 있습니다,Conservative
99,이재명 대표의 재판 속개를 요구하고 정청래 의원과 이재명 일당을 내란범으로 규정하며 처벌을 요구했습니다 윤석열 대통령의 무죄를 주장하며 지지하고 특검에 대한 비판도 포함되어 있습니다,Conservative
100,내란 프레임을 비판하며 더불고발당이라는 멸칭으로 더불어민주당을 비난하고 있습니다 이재명 대표의 아내 김혜경 씨의 구속을 비꼬는 듯한 표현을 사용했습니다,Conservative
101,이진숙 위원장을 지지하며 현 상황을 공산정권으로 규정하고 국민들에게 경각심을 촉구하는 보수적 시각을 드러내고 있습니다,Conservative
102,김현지 씨와 이재명 대표를 죄명이라는 멸칭으로 부르며 특검 구속 출국금지를 강력히 요구하고 있습니다,Conservative
103,이재명 대표를 이죄명이라는 멸칭으로 부르며 비판하고 구속 및 퇴진을 강력히 요구하고 있습니다 피고인 이죄명이 망했다는 표현을 사용했습니다,Conservative
104,이재명 대표와 그 지지자들을 비판하고 내란집단을 응징해야 한다고 주장하며 윤 어게인을 외치는 보수적 관점을 드러내고 있습니다,Conservative
105,이재명 대표의 재판 속개를 요구하고 더불어민주당을 조작당 내란당 내란세력으로 규정하며 강하게 비판하고 있습니다 배승희 변호사에 대한 응원도 포함되어 있습니다,Conservative
106,김성태 전 회장의 진술을 긍정적으로 평가하며 이화영 전 부지사에게 진실을 말할 것을 촉구하고 있습니다 공짜연애는 이재명 대표를 비꼬는 표현으로 사용되었습니다,Conservative
111,한국 선거와 사법부의 문제점을 지적하며 법치주의를 강조하는 정치적 의견을 표명하고 있으나 특정 진영을 지지하거나 비판하기보다는 전반적인 시스템 개선을 요구하는 중립적 관점입니다,Neutral
118,이재명 대표를 이재명대통령으로 칭하며 비꼬는 반어법을 사용하고 죄명이라는 멸칭으로 범죄자 취급하며 비판하고 있습니다 또한 반미 성향에 대한 비판도 포함되어 있어 보수적 관점을 드러냅니다,Conservative
128,더불어민주당 장경태 의원의 성추행 의혹에 대해 의원직 박탈 나쁜놈 뻔뻔스럽게 버티겠지 등의 표현을 사용하며 강하게 비판하고 있습니다 이는 진보 진영 인사에 대한 비판으로 보수적 성향을 나타냅니다,Conservative
129,더불어민주당 장경태 의원의 성추행 의혹에 대해 나락으로 떨어지는구나 민주당 찌지리 수사 받으시오 국민이 될 자격도 없네 등의 강한 비난과 멸칭을 사용하며 처벌을 요구하고 있습니다 이는 진보 진영 인사에 대한 비판으로 보수적 성향을 나타냅니다,Conservative
130,이재명 대표와 김현지 씨를 직권남용과 인사비리로 비판하며 구속 수사와 특검을 요구하고 있습니다 이는 진보 진영 인사에 대한 강한 비판으로 보수적 성향을 나타냅니다,Conservative
131,더불어민주당 장경태 의원의 성추행 의혹에 대해 제대로 처벌받고 정치판에서 아웃해라 장경퇴박살 등의 강한 비난과 멸칭을 사용하며 처벌을 요구하고 있습니다 또한 동료 의원들까지 비판하며 진보 진영 전체에 대한 부정적 시각을 드러냅니다,Conservative
132,김건희 여사 특검과 비교하며 너희들도 특검하라고 요구하고 민주당 더불당 가지 가지 하네라며 더불어민주당을 비판하고 있습니다 뻔뻔한 철면피 잡범 구속되는날 더큰 대한민국 시작된다는 표현은 주로 진보 진영 인사를 겨냥한 보수 진영의 비판적 시각을 반영합니다,Conservative
133,조진웅 옹호 논란 장경태 성추행 의혹 민주당 통일교 지원 등 진보 진영과 관련된 논란들을 언급하며 나라가 온통 역겨운 분들로 넘쳐나는 미친 개소리를 끌어내려야 한다 등의 강한 비판을 쏟아내고 있습니다 장경태 의원에 대한 비아냥도 포함되어 있습니다,Conservative
134,더듬어범죄당이라는 멸칭을 사용하여 더불어민주당을 비판하고 해산을 요구하고 있습니다 이는 진보 진영에 대한 강한 부정적 시각을 드러내는 보수적 성향입니다,Conservative
135,이재명 대표와 전재수 의원더불어민주당에 대한 수사를 촉구하며 빨리 처넣어라는 강한 비난을 하고 있습니다 또한 전재수 의원의 당선이 국민의힘 공천 실패 때문이라고 언급하며 보수 진영에 대한 지지 의사를 간접적으로 드러냅니다,Conservative
136,장경태의 지금 만지러 갑니다라는 성추행 의혹을 비꼬는 표현과 좌파들 우리가 장변태다 성범죄 집단 반드시 심판해야 한다 등의 멸칭을 사용하며 진보 진영을 강하게 비판하고 있습니다,Conservative
137,이재명 대표가 북한에 고개 숙이는 이유를 의심하며 비판하고 법죄자정북글어내려야한다대통잡법총리법죄자대표방화법세겨어디에도없는전과자정부라는 다소 난해하지만 범죄자 전과자 등의 멸칭을 통해 진보 진영의 주요 인물들을 비난하고 있습니다,Conservative
138,엉터리 특검 미친특검 해체하라며 특검을 비판하고 범죄자 죄맹이 내려와라라며 이재명 대표를 멸칭으로 부르며 퇴진을 요구하고 있습니다 이는 진보 진영에 대한 강한 비판으로 보수적 성향을 나타냅니다,Conservative
139,김현지 씨의 국정농단 의혹을 제기하며 구속을 요구하고 박근혜 대통령의 정직함을 언급하며 현 상황을 비판합니다 또한 재명현지라는 멸칭을 사용하며 이재명 대표와 김현지 씨를 북한 지도부에 비유하는 등 진보 진영에 대한 강한 비판을 드러냅니다,Conservative
140,인민재판이라는 용어를 사용하여 특정 재판이나 정치적 상황이 공정하지 못하고 정치적으로 이용되고 있음을 비판하고 있습니다 이는 주로 보수 진영에서 진보 진영의 행태를 비판할 때 사용하는 표현입니다,Conservative
141,조진웅 씨의 과거 범죄 전력을 옹호하는 범여권을 비판하며 세상이 미쳐 돌아가네 좌파들만 셀프용서함 등의 표현으로 진보 진영의 도덕성을 강하게 비난하고 있습니다,Conservative
142,민주당 압수수색하라 민주당 똑같이 수사하라 이것들 다 구속하라 등의 강한 표현으로 더불어민주당과 그 인물들을 비판하고 수사를 촉구하고 있습니다 박지원 등 진보 진영 인물에 대한 비판도 포함되어 있습니다,Conservative
143,민주당을 해산하라 반헌법적인 정당 해산이 옳다는 매우 강한 표현으로 더불어민주당의 해산을 요구하고 있습니다 이는 진보 진영에 대한 극단적인 비판으로 보수적 성향을 나타냅니다,Conservative
144,떠블당 만진당이라는 멸칭을 사용하여 더불어민주당을 비판하고 장경태 의원의 성추행 의혹을 비꼬며 만진당 적통은 기대를 져버리지 않아라고 조롱하고 있습니다 이는 진보 진영에 대한 강한 비판으로 보수적 성향을 나타냅니다,Conservative
